0.jpg,"the bird has small beak when compared to its body, with gray and white wingbars.
"
7795.jpg,"this is a brown bird with a speckled cream-colored belly and a short, sharp bill.
"
7796.jpg,"this ugly, unremarkable bird is brown and white with a tiny little beak
"
7797.jpg,"a fat white and brown breast with a gray crown.
"
7798.jpg,"a small bird has a rounded belly with a spotted design, a white eyering, and a small pointy bill.
"
7799.jpg,"the bird is brown with spots of white underneath from the breast to the undertail coverts.
"
7800.jpg,"a tiny bird that has gray and red around the eyes, with a orange and brown tail.
"
7801.jpg,"this is a colorful bird with small beak when compared to its body, with red tarsus and feet.
"
7802.jpg,"this is a brown bird with a white spotted belly.
"
7803.jpg,"this bird has a brown and white spotted breast and belly, and white feet.
"
7804.jpg,"face & back pattern are generalizations, subject to much variation, esp. in sooty fox sparrow red tail contrast""is not strictly is a fair generalization lower mandible color is very useful, but can vary in intensity
"
7805.jpg,"this bird has a white chest with brown spots.
"
7806.jpg,"a small, dark brown bird with a lightly speckled breast and a yellow bill.
"
7807.jpg,"a bird with small triangular bill, white eye ring, brown cheek patch, and speckled brown and white breast.
"
7808.jpg,"plumage all black with a plump looking body
"
7809.jpg,"a brown bird with alternating white and brown feathers on breast and belly with a short pointed beak.
"
7810.jpg,"this bird is brown with white speckled breast. the retrices are also speckled. the bill has a yellow underside.
"
7811.jpg,"the bird has a black eyering and a small bill.
"
7812.jpg,"this is a bird with a white breast and brown wings.
"
7813.jpg,"a brown bird with white spots and a yellow beak.
"
7814.jpg,"the small brown bird has a yellow beak and black round eyes.
"
7815.jpg,"small brown and grey bird with a white striped belly and brown beak.
"
7816.jpg,"small brown and white bird with short beak and long tarsus
"
7817.jpg,"the bird is brown with a speckled chest and tall tarsals with a short beak.
"
7818.jpg,"the small bird is brown and white speckled with a small yellow bill.
"
7819.jpg,"a well rounded bird with a short bill and tan and grey feathers.
"
7820.jpg,"the small brown bird has a white and brown speckled chest.
"
7821.jpg,"the bird has a black eyering and skinny thighs.
"
7822.jpg,"this bird is completely brown from head to tail and has a tiny little beak
"
7823.jpg,"the bird has a gray crown, a spotted brown and white belly, with brown outer rectrices,
"
7824.jpg,"this bird has a combination of white and brown on its breasts which gives way to solid brown near the crown.
"
7825.jpg,"this plump bird has a small head compared to it's body and it is brown with white specs on it's underside and the tail is narrow and pointed with black in it.
"
7826.jpg,"a bird with a short, pointed bill, white eyering, and speckled brown and white belly and breast
"
7827.jpg,"this bird has a white belly with a brown face and back.
"
7828.jpg,"this bird has a white and brown speckled belly and breast with gray crown and brown secondary.
"
7829.jpg,"this bird has a mostly brown body, wings, and tail, but a mottled white breast and flank and a light-colored bill.
"
7830.jpg,"this bird has a white belly and neck with black speckles, with a darker crown and back.
"
7831.jpg,"this small brown bird has a triangle pattern on it's belly, a short yellow bill, and long brown tarsus and feet.
"
7832.jpg,"tan bird around the head and tail but the body is white with brown spots underneath.
"
7833.jpg,"small bird with a white abdomen and chest, brown and gray colored crown and topside, black eyes, pale gray beak.
"
7834.jpg,"this bird has a white belly with brown spots and small beak.
"
7835.jpg,"the bird has a white body and red feet and tarsals with a bill that is red and black.
"
7836.jpg,"this bird has a white belly, a white chest and neck, a black and orange beak, and a black supercillary.
"
7837.jpg,"a medium sized white bird with gray wings, black crown and nape, and bright orange legs and feet.
"
7838.jpg,"a bird with pointed, black tipped beak, black crown, and all white body.
"
7839.jpg,"this white-bodied bird has wide, blade-like wings and a black head.
"
7840.jpg,"the bird has a black bill that is long as well as black feet.
"
7841.jpg,"this is a white bird with grey wings and a black eyering.
"
7842.jpg,"this is a whitish bird with black patches around its eyes and a large black bill.
"
7843.jpg,"grey wings and crown cover this white bodied bird with a black superciliary.
"
7844.jpg,"this bird is mostly white, with a black head, and a sharp pointed orange and black beak.
"
7845.jpg,"this is a white bird with a black head, orange feet, and a black and orange long pointed beak.
"
7846.jpg,"the bird has a long black bill, a black eyebrow, and orange tarsi
"
7847.jpg,"this small, water-loving bird is like a miniature white gull but with a black skull cap and a black tip at the end of his orange beak, matching the orange of his legs and feet.
"
7848.jpg,"this medium sized bird has a white body and short orange legs and feet.
"
7849.jpg,"this bird is white with a black head and an orange beak.
"
7850.jpg,"the head of the bird is black and the body is white while the beak is orange.
"
7851.jpg,"the bird has skinny tarsus that is red as well as a skinny bill.
"
7852.jpg,"the bird has an orange tarsus and an orange and black bill.
"
7853.jpg,"the brownish bird has a mixture of white and brown on his crown, also majority of his body excluding his yellow feet.
"
7854.jpg,"a medium sized bird that has white feathers and a black tipped head
"
7855.jpg,"the white and grey bird has a black beak and black eyebrows.
"
7856.jpg,"the bird has an orange bill and a black bill as well.
"
7857.jpg,"large bird with long skinny orange legs and mostly white feathers
"
7858.jpg,"the bird has a white belly and breast and a black crown.
"
7859.jpg,"a small white bird with a long bill and a black crown.
"
7860.jpg,"this larger bird is almost all gray with darker wings and a black crest.
"
7861.jpg,"the bird has two long wingbars and a large bill.
"
7862.jpg,"the bird is white with orange legs and webbed feet and a black beak and eye.
"
7863.jpg,"the flying bird is pale white with black surrounding its eye area
"
7864.jpg,"the bird is white but with a black face and a pointed beak.
"
7865.jpg,"a bird with downward curved black and orange bill, black crown, and white body.
"
7866.jpg,"this bird has a white breast and belly with gray wings, black eyebrows, black pointed beak, and orange feet.
"
7867.jpg,"this white bird has a long tail, and a black beak, and black around its eyes.
"
7868.jpg,"this is a medium sized bird with bright orange feet and a long,orange, narrow, pointy bill, the chest is pure white and the majority of the head, until below the eye, is black feathered and the wings and tail of the bird are grey.
"
7869.jpg,"this is a medium sized bird with bright orange legs, feet and beak, the tip of the bill is black and the crown and half of the head is black, the chest and throat are white and the wings are and tail feathers are grey.
"
7870.jpg,"this is a white bird with a black cap on its head and a large orange bill.
"
7871.jpg,"there is a white bird with a black head and orange feet.
"
7872.jpg,"this small bird has orange legs, white and grey feathers and a long, black beak.
"
7873.jpg,"a large bird with a long beak, and a white and gray body.
"
7874.jpg,"the bird has a large skinny bill that is black, and large wingbars.
"
7875.jpg,"a larger bird with an orange beak, a black nape and grey covering rest of his body
"
7876.jpg,"this bird has a white belly and breast with a black crown and sharp bit.
"
7877.jpg,"this is a large white bird with large wings with white feathers, and a medium sized flat beak.
"
7878.jpg,"this bird has a white belly, sides, and breast with black superciliary and secondary wing tips.
"
7879.jpg,"a bird with a black crown, a long black and orange bill, orange tarsi, with an average sized head
"
7880.jpg,"this bird is predominantly white, with a black crown, and a long orange bill and orange tarsus and feet.
"
7881.jpg,"the white bird has orange feet and a black eyebrow.
"
7882.jpg,"a medium sized bird that has white feathers and a black tipped head
"
7883.jpg,"a bird with a snowy bright white belly and throat, a black crown, long orange bill with black tips, pale grey wings and bright orange tarsus and feet.
"
7884.jpg,"bird has a white body with light grey feathers from the wing to the tail, around the nape it is also grey and a black circle around the eye with a black beak.
"
7885.jpg,"a white bird with a black crown and superciliary and a bright reddish orange beak.
"
7886.jpg,"the bird has black crown and nape, white throat, breast, belly and abdomen, and red feet.
"
7887.jpg,"the bird has a large bill that is curved as well as orange and black.
"
7888.jpg,"this bird is nearly all white with orange beak, feet, and tarsus.
"
